data,Region,region.en,total.positive,new.positives,total.cases,population,population.per.mil,total.pos.per.mil,total.cas.per.mil
2020-04-27T17:00:00,Sardegna,Sardinia,776,3,1283,1639591,1.639591,473.2887653,782.5122241
2020-04-27T17:00:00,Sicilia,Sicily,2123,30,3085,4999891,4.999891,424.6092565,617.0134509
2020-04-27T17:00:00,Toscana,Tuscany,5983,32,9179,3729641,3.729641,1604.175844,2461.094781
2020-04-27T17:00:00,Trentino-Alto Adige,Trentino-Alto Adige/South Tyrol,2647,116,6491,1072276,1.072276,2468.58085,6053.478769
2020-04-27T17:00:00,Umbria,Umbria,287,2,1370,882015,0.882015,325.3912915,1553.261566
2020-04-27T17:00:00,Valle d'Aosta,Aosta,235,5,1111,125666,0.125666,1870.036446,8840.895708
2020-04-27T17:00:00,Veneto,Veneto,8860,108,17579,4905854,4.905854,1806.005641,3583.27011
2020-04-28T17:00:00,Abruzzo,Abruzzo,1990,25,2899,1311580,1.31158,1517.253999,2210.311228
2020-04-28T17:00:00,Basilicata,Basilicata,205,0,366,562869,0.562869,364.2055256,650.2401092
2020-04-28T17:00:00,Calabria,Calabria,764,1,1097,1947131,1.947131,392.3721619,563.3930126
2020-04-28T17:00:00,Campania,Campania,2802,31,4380,5801692,5.801692,482.9625564,754.952176
2020-04-28T17:00:00,Emilia-Romagna,Emilia-Romagna,12003,252,24914,4459477,4.459477,2691.571231,5586.753783
2020-04-28T17:00:00,Friuli Venezia Giulia,Friuli-Venezia Giulia,1239,18,2995,1215220,1.21522,1019.568473,2464.574316
2020-04-28T17:00:00,Lazio,Lazio,4562,75,6467,5879082,5.879082,775.9714867,1100.001667
2020-04-28T17:00:00,Liguria,Liguria,3571,130,7772,1550640,1.55064,2302.920085,5012.124026
2020-04-28T17:00:00,Lombardia,Lombardy,35744,869,74348,10060574,10.060574,3552.878792,7390.035598
2020-04-28T17:00:00,Marche,Marche,3334,48,6175,1525271,1.525271,2185.841073,4048.460896
2020-04-28T17:00:00,Molise,Molise,195,1,297,305617,0.305617,638.0535114,971.8045789
2020-04-28T17:00:00,Piemonte,Piedmont,15506,352,25450,4356406,4.356406,3559.356038,5841.97157
2020-04-28T17:00:00,Puglia,Apulia,2919,22,3980,4029053,4.029053,724.4878635,987.8251788
2020-04-28T17:00:00,Sardegna,Sardinia,772,2,1285,1639591,1.639591,470.8491325,783.7320405
2020-04-28T17:00:00,Sicilia,Sicily,2143,35,3120,4999891,4.999891,428.6093437,624.0136035
2020-04-28T17:00:00,Toscana,Tuscany,5896,52,9231,3729641,3.729641,1580.849202,2475.037142
2020-04-28T17:00:00,Trentino-Alto Adige,Trentino-Alto Adige/South Tyrol,2475,32,6523,1072276,1.072276,2308.174388,6083.321831
2020-04-28T17:00:00,Umbria,Umbria,275,9,1379,882015,0.882015,311.7860807,1563.465474
2020-04-28T17:00:00,Valle d'Aosta,Aosta,209,8,1119,125666,0.125666,1663.138796,8904.556523
2020-04-28T17:00:00,Veneto,Veneto,8601,129,17708,4905854,4.905854,1753.211571,3609.565226
